rowID.x,treatment,wordCount,cluster,enviroCharity,age,female,region,edu_n,inc,poli_n,voteD,voteR,PEBs,time,intent,warmGlow,ccIndex,enviroID,id_enviro,cc_Seriousness,cc_harmTime,cc_personalHarm,cc_cause,wg_good,wg_positive,cc_humancause,cc_denial,control,extrinsic,intrinsic,after
36,0,132,Doubtful and Dismissive,0,42,0,South,3,62.5,-1,0,1,-0.43105849622658055,2,-0.6726357242012451,-1.0461167510724536,-2.470768653473333,1.1451079936433683e-4,6,3,2,2,2,5,5,0,0,1,0,0,1
37,1,75,Doubtful and Dismissive,1,37,1,Midwest,4,62.5,2,1,0,-0.5455466175386524,1,-0.20536794746201287,0.21784312256050406,-0.3807042823111537,-0.25534315248452644,4,3,2,4,3,6,6,1,0,0,1,0,0
37,1,75,Doubtful and Dismissive,1,37,1,Midwest,4,62.5,2,1,0,-0.6443763955680338,2,-0.20595302626633635,-1.0461167510724536,-0.3559217728825129,-0.4001097752717021,4,3,0,0,0,5,5,0,0,0,1,0,1
38,0,103,Most Concerned,0,32,1,Midwest,5,62.5,2,1,0,-0.05239862376818414,1,0.2689108870162588,1.6492795615012592,1.9046564400549733,0.9021603644235473,7,4,4,3,3,7,7,1,0,1,0,0,0
38,0,103,Most Concerned,0,32,1,Midwest,5,62.5,2,1,0,0.2444615209290528,2,0.2555935134889254,1.6695415869720311,1.7395179673721841,0.9072023551850275,7,4,4,3,3,7,7,1,0,1,0,0,1
39,0,171,Doubtful and Dismissive,0,26,0,Northeast,5,32.5,2,1,0,-0.40195534507231756,1,-0.8539749786285934,-6.939339072143271,0.7559298657737825,0.10377342300015176,7,4,2,4,3,1,1,1,0,1,0,0,0
39,0,171,Doubtful and Dismissive,0,26,0,Northeast,5,32.5,2,1,0,-0.4296866168569059,2,-0.15394354423488815,-6.477433427161423,1.738602314892169,-0.7884209897437772,7,4,3,4,3,1,1,1,0,1,0,0,1
40,1,51,Most Concerned,1,41,0,Midwest,2,62.5,2,1,0,-0.019514399195298078,1,0.010648908368802973,1.6492795615012592,1.9046564400549733,0.7776326664251154,6,4,4,3,3,7,7,1,0,0,1,0,0
40,1,51,Most Concerned,1,41,0,Midwest,2,62.5,2,1,0,-0.3434433898607707,2,-0.06972182966763034,1.6695415869720311,1.7395179673721841,0.4942420273805415,5,4,4,3,3,7,7,1,0,0,1,0,1
41,0,99,Most Concerned,0,37,0,South,5,12.5,0,0,0,0.34750848991382016,1,0.09106277534917924,-2.6450297553210063,1.81947875508108,0.7711462094771167,5,4,3,4,3,4,4,1,0,1,0,0,0
41,0,99,Most Concerned,0,37,0,South,5,12.5,0,0,0,0.2029897306072902,2,0.0648481659076936,-2.4039459200946958,1.738602314892169,0.7849585919813776,5,4,3,4,3,4,4,1,0,1,0,0,1
42,2,107,Doubtful and Dismissive,0,50,0,South,3,12.5,0,0,0,-0.04242062568624556,1,-0.49979834685013785,-2.6450297553210063,-6.652635080788536,-1.7911826707612648,3,1,1,1,1,4,4,0,1,0,0,1,0
42,2,107,Doubtful and Dismissive,0,50,0,South,3,12.5,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
43,1,91,Doubtful and Dismissive,1,35,0,West,5,125,-2,0,1,0.01532847267648332,1,0.33320658990771435,-2.6450297553210063,-4.452452043396303,-1.6958435701588468,4,2,2,1,2,4,4,0,0,0,1,0,0
43,1,91,Doubtful and Dismissive,1,35,0,West,5,125,-2,0,1,0.09058839418440826,2,-0.003718717202532479,-2.4039459200946958,-4.60550827633715,-2.13119522379927,2,2,2,1,2,4,4,0,0,0,1,0,1
44,1,128,Doubtful and Dismissive,1,45,1,South,4,12.5,1,1,0,-0.23346916312393814,1,0.07706247488829134,0.21784312256050406,-0.22244133855962184,-1.3202687124068977,1,4,2,3,2,6,6,0,0,0,1,0,0
44,1,128,Doubtful and Dismissive,1,45,1,South,4,12.5,1,1,0,-0.05878742797325861,2,0.08499038740550313,-2.4039459200946958,-1.433910806962498,-1.5336494985809423,2,3,2,3,2,4,4,0,0,0,1,0,1
45,0,76,Most Engaged,0,22,0,West,2,32.5,2,1,0,0.27422749588618195,1,-0.8576998561987461,0.23955904324366906,2.8830276443883776,-0.24926422699291492,7,4,4,4,3,7,5,1,0,1,0,0,0
45,0,76,Most Engaged,0,22,0,West,2,32.5,2,1,0,-0.16693935199650903,2,-0.42394209848434194,1.6695415869720311,2.776375813883019,-0.7495800280175121,4,4,4,4,3,7,7,1,0,1,0,0,1
46,2,66,Most Concerned,1,47,0,Midwest,3,12.5,1,1,0,0.7831064096574812,1,0.7403269977993843,1.6492795615012592,2.8830276443883776,0.8875660657255403,7,4,4,4,3,7,7,1,0,0,0,1,0
46,2,66,Most Concerned,1,47,0,Midwest,3,12.5,1,1,0,0.6067580957628469,2,0.778099703493167,1.6695415869720311,2.776375813883019,0.9969647194901499,7,4,4,4,3,7,7,1,0,0,0,1,1
47,1,181,Doubtful and Dismissive,0,39,1,South,6,32.5,-2,0,1,-0.9520826301493237,1,-1.3080279211927792,-6.939339072143271,-6.652635080788536,-1.0688618033700907,1,1,1,1,1,1,1,0,1,0,1,0,0
47,1,181,Doubtful and Dismissive,0,39,1,South,6,32.5,-2,0,1,-0.9041245660671278,2,-1.281840892014518,-6.477433427161423,-6.741163551680982,-1.7420224514118139,1,1,1,1,2,1,1,0,0,0,1,0,1
48,2,141,Most Concerned,1,29,1,Northeast,5,87.5,2,1,0,0.29857359183271515,1,0.4312835764990464,1.6492795615012592,2.8830276443883776,0.7776326664251154,6,4,4,4,3,7,7,1,0,0,0,1,0
48,2,141,Most Concerned,1,29,1,Northeast,5,87.5,2,1,0,0.1365963467991313,2,0.2155237062021436,0.31171241794978877,1.781397098355709,0.5947191275283983,5,4,0,4,3,6,6,1,0,0,0,1,1
49,0,159,Doubtful and Dismissive,0,29,0,West,5,32.5,-2,0,1,-0.25057962860452454,1,-0.3634597360065112,-1.213593316380251,-4.452452043396303,-0.8001293359235857,2,2,2,1,2,5,5,0,0,1,0,0,0
49,0,159,Doubtful and Dismissive,0,29,0,West,5,32.5,-2,0,1,-0.18797057492024216,2,-0.31458872296390183,-1.0461167510724536,-3.568650429826315,-1.2174352553522427,3,2,2,2,2,5,5,0,0,1,0,0,1
50,0,133,Most Concerned,0,38,0,West,2,12.5,NA,NA,NA,-0.3711770355982654,1,-0.4206772926372986,0.21784312256050406,-1.200812542893026,0.28527463159424693,6,4,2,2,3,6,6,1,0,1,0,0,0
50,0,133,Most Concerned,0,38,0,West,2,12.5,NA,NA,NA,-0.5051604722584125,2,-0.4686091293580611,0.31171241794978877,-2.470768653473333,0.2041779327573703,6,3,2,2,3,6,6,1,0,1,0,0,1
51,0,107,Doubtful and Dismissive,0,33,0,South,2,125,1,1,0,-0.601774592336861,1,-1.005107583835002,-1.213593316380251,-1.2738978016706648,-0.6107022860893134,4,3,3,2,3,5,5,1,0,1,0,0,0
51,0,107,Doubtful and Dismissive,0,33,0,South,2,125,1,1,0,-0.5465767920736385,2,-0.7608405270017768,-1.0374708887214588,-2.470768653473333,-0.9504214213448114,4,3,2,2,3,6,4,1,0,1,0,0,1
52,1,208,Most Engaged,1,28,1,West,3,62.5,2,1,0,0.21053557970235554,1,-0.1304288662786994,0.21784312256050406,-1.4321607454221965,-0.5210574635336077,6,2,3,3,3,6,6,1,0,0,1,0,0
